物件ID,物件名,物件種別,価格,間取り,建物面積,土地面積,築年月日,築年数,駅情報・駅徒歩,所在地,不動産会社,お気に入り登録数,ファイル名
6990375004,北九州市八幡西区 上上津役６丁目（永犬丸駅） 平屋建 ４ＤＫ148万円,中古一戸建て,148万円,４ＤＫ,94.74m²,651.67m²,1978年6月（築47年11ヶ月）,築47年10ヶ月,筑豊電気鉄道 「永犬丸」駅 徒歩42分,北九州市八幡西区上上津役６丁目,(株)ＡｌｂａＬｉｎｋ　博多支店（地下鉄空港線/中洲川端 徒歩5分）AlbaLinkは、空き家の買取再販と利活用を専門とする不動産IT企業です,N/A,fukuoka.html
6988671854,朝倉市 黒川 平屋建 ５ＤＫ150万円,中古一戸建て,150万円,５ＤＫ,113.61m²,"2,046.00m²",1888年1月（築138年4ヶ月）,築138年3ヶ月,【バス】コミュニティバス「馬場」 停歩4分,N/A,イーグルハウス(株)（西鉄甘木線/甘木 徒歩1分）オンライン相談可不動産の事なら何でもご相談ください！一緒に理想のお住まいを探しましょう！,N/A,fukuoka.html
1164813107,大牟田市 黄金町１丁目（大牟田駅） 2階建 ５ＤＫ150万円,中古一戸建て,150万円,５ＤＫ,172.45m²,516.26m²,1961年1月（築65年4ヶ月）,築65年3ヶ月,ＪＲ鹿児島本線 「大牟田」駅 徒歩17分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6988496774,豊前市 大字大西（宇島駅） 平屋建 ４ＤＫ150万円,中古一戸建て,150万円,４ＤＫ,111.34m²,522.19m²,1974年2月（築52年3ヶ月）,築52年2ヶ月,ＪＲ日豊本線 「宇島」駅 徒歩50分,N/A,(株)オーシャン,N/A,fukuoka.html
6989770868,大牟田市 新勝立町５丁目（大牟田駅） 2階建 ７ＤＫ180万円,中古一戸建て,180万円,７ＤＫ,120.26m²,545.00m²,1983年4月（築43年1ヶ月）,築43年0ヶ月,西鉄天神大牟田線 「大牟田」駅 徒歩50分,N/A,あざみハウジング（西鉄天神大牟田線/大牟田 徒歩5分）あなたの住まいの空間をお探しします,N/A,fukuoka.html
1148227014,北九州市八幡西区 元城町（八幡駅） 平屋建 ４ＤＫ180万円,中古一戸建て,180万円,４ＤＫ,47.93m²,694.00m²,1940年1月（築86年4ヶ月）,築86年3ヶ月,ＪＲ鹿児島本線 「八幡」駅 徒歩27分,北九州市八幡西区元城町,(株)土地空間堂（筑豊電気鉄道/三ヶ森 徒歩7分）理想を現実に、納得するまでお手伝い！！,N/A,fukuoka.html
6990103799,行橋市 大字道場寺（新田原駅） 平屋建 ３Ｋ180万円,中古一戸建て,180万円,３Ｋ,50.41m²,764.23m²,1947年1月（築79年4ヶ月）,築79年3ヶ月,ＪＲ日豊本線 「新田原」駅 徒歩11分,N/A,(株)エステートプラン（筑豊電気鉄道/穴生 徒歩2分）オンライン相談可私たちは安心を提供することを目的とします。,N/A,fukuoka.html
6986785269,築上郡築上町 大字高塚（椎田駅） 平屋建 １０Ｋ198万円,中古一戸建て,198万円,１０Ｋ,106.44m²,558.64m²,1959年4月（築67年1ヶ月）,築67年0ヶ月,ＪＲ日豊本線 「椎田」駅 徒歩21分,N/A,(株)エステートプラン（筑豊電気鉄道/穴生 徒歩2分）オンライン相談可私たちは安心を提供することを目的とします。,N/A,fukuoka.html
1190248215,大牟田市 大字勝立（大牟田駅） 平屋建 ６Ｋ200万円,中古一戸建て,200万円,６Ｋ,119.41m²,641.87m²,1975年4月（築51年1ヶ月）,築51年0ヶ月,ＪＲ鹿児島本線 「大牟田」駅 徒歩48分[バス利用可] バス 11分 勝立 停歩4分,N/A,ＬＩＸＩＬ不動産ショップ　さくらエステート（福岡トーヨー(株)）（西鉄天神大牟田線/新栄町 徒歩18分）オンライン相談可福岡・佐賀・熊本の不動産に関する事ならお任せ下さい！,N/A,fukuoka.html
6989592911,北九州市八幡東区 末広町（スペースワールド駅） 平屋建 ４ＬＤＫ200万円,中古一戸建て,200万円,４ＬＤＫ,101.17m²,"1,204.59m²",1978年1月（築48年4ヶ月）,築48年3ヶ月,ＪＲ鹿児島本線 「スペースワールド」駅 徒歩21分,北九州市八幡東区末広町,(有)リサーチ　不動産リサーチ（ＪＲ日豊本線/南小倉 徒歩34分）不動産の事なら当社へおまかせ下さい♪♪,N/A,fukuoka.html
6976729618,北九州市八幡東区 中尾３丁目 平屋建 ４ＬＤＫ200万円,中古一戸建て,200万円,４ＬＤＫ,97.59m²,727.00m²,1975年1月（築51年4ヶ月）,築51年3ヶ月,【バス】西鉄高槻小学校前 停歩4分,北九州市八幡東区中尾３丁目,(株)イエマネ（ＪＲ日豊本線/南小倉 徒歩5分）弊社は、不動産の売却・買取ができる専門店です！！,N/A,fukuoka.html
6990159641,田川郡添田町 大字添田（添田駅） 2階建 ４ＤＫ200万円,中古一戸建て,200万円,４ＤＫ,1.00m²,"1,265.18m²",1976年4月（築50年1ヶ月）,築50年0ヶ月,ＪＲ日田彦山線 「添田」駅 徒歩10分,N/A,(株)グッドハウス（平成筑豊鉄道/下伊田）オンライン相談可筑豊の不動産なら（株）グッドハウスへ！,N/A,fukuoka.html
1076805599,田川郡福智町 赤池（赤池駅） 平屋建 ６Ｋ200万円,中古一戸建て,200万円,６Ｋ,94.87m²,503.16m²,1988年3月（築38年2ヶ月）,築38年1ヶ月,平成筑豊鉄道 「赤池」駅 徒歩9分,N/A,(株)東武住販　飯塚店（ＪＲ筑豊本線/新飯塚 徒歩3分）オンライン相談可不動産を売るとき、買うとき、お客様の住活を強力にサポート致します,N/A,fukuoka.html
6985245378,豊前市 大字大河内 2階建 ７ＳＤＫ200万円,中古一戸建て,200万円,７ＳＤＫ,135.00m²,858.34m²,1960年5月（築66年）,築65年11ヶ月,宇島駅から車で,N/A,グランアミーゴ(株)（ＪＲ日豊本線/宇島 徒歩18分）新事務所に移転いたしました。皆様のお役に立てるよう頑張ります。,N/A,fukuoka.html
6987836688,うきは市 浮羽町新川 2階建 ６ＤＫ230万円,中古一戸建て,230万円,６ＤＫ,137.42m²,507.93m²,1975年3月（築51年2ヶ月）,築51年1ヶ月,【バス】公民館前 停歩1分,N/A,田舎ぐらし　ほたるの里　(有)大在工業（ＪＲ日豊本線/坂ノ市 徒歩3分）ご紹介するのは「暮らし」です,N/A,fukuoka.html
6987340205,直方市 大字頓野（感田駅） 2階建 ５ＤＫ230万円,中古一戸建て,230万円,５ＤＫ,142.31m²,890.01m²,1972年5月（築54年）,築53年11ヶ月,筑豊電気鉄道 「感田」駅 徒歩27分,N/A,(株)ジェクトワン　アキサポ事業部（ＪＲ山手線/渋谷 徒歩1分）,N/A,fukuoka.html
6986918476,朝倉郡東峰村 大字福井 2階建 ６ＤＫ250万円,中古一戸建て,250万円,６ＤＫ,178.13m²,"1,975.57m²",1971年1月（築55年4ヶ月）,築55年3ヶ月,【バス】宝珠山駅 停歩2分,N/A,イーグルハウス(株)（西鉄甘木線/甘木 徒歩1分）オンライン相談可不動産の事なら何でもご相談ください！一緒に理想のお住まいを探しましょう！,N/A,fukuoka.html
1164792007,大牟田市 大字今山（東甘木駅） 平屋建 ４ＬＤＫ250万円,中古一戸建て,250万円,４ＬＤＫ,144.99m²,"1,400.52m²",1960年1月（築66年4ヶ月）,築66年3ヶ月,西鉄天神大牟田線 「東甘木」駅 徒歩42分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6990049208,田川郡川崎町 大字川崎 平屋建 ６ＤＫ270万円,中古一戸建て,270万円,６ＤＫ,92.56m²,"1,576.83m²",1926年3月（築100年2ヶ月）,築100年1ヶ月,【バス】東川崎公民館前 停歩3分,N/A,たまる不動産（ＪＲ日田彦山線/田川後藤寺）田川市郡を中心に営業展開をしております。,N/A,fukuoka.html
1165761307,大牟田市 八本町（新栄町駅） 平屋建 ４ＤＫ280万円,中古一戸建て,280万円,４ＤＫ,90.08m²,650.89m²,1933年1月（築93年4ヶ月）,築93年3ヶ月,西鉄天神大牟田線 「新栄町」駅 徒歩19分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6985168602,鞍手郡小竹町 大字赤地（勝野駅） 平屋建 ３ＤＫ280万円,中古一戸建て,280万円,３ＤＫ,84.98m²,565.24m²,1972年7月（築53年10ヶ月）,築53年9ヶ月,ＪＲ筑豊本線 「勝野」駅 徒歩9分,N/A,(株)ポートハウス（ＪＲ鹿児島本線/水巻 徒歩8分）『もっと身近な不動産』を目指して、人と人+不動産を繋ぐ仲介をします,N/A,fukuoka.html
6988589696,田川郡川崎町 大字安眞木（添田駅） 平屋建 ４ＤＫ280万円,中古一戸建て,280万円,４ＤＫ,108.42m²,"2,258.00m²",1983年1月（築43年4ヶ月）,築43年3ヶ月,ＪＲ日田彦山線 「添田」駅 徒歩7200ｍ,N/A,(株)かなでるプラン（ＪＲ筑豊本線/浦田 徒歩1分）かなでるプランは住まいの売買をご検討のお客様に最適なプランをご提案いたします。,N/A,fukuoka.html
6988705482,田川郡川崎町 大字安眞木 平屋建 ４ＤＫ280万円,中古一戸建て,280万円,４ＤＫ,108.42m²,"2,258.00m²",1983年1月（築43年4ヶ月）,築43年3ヶ月,【バス】黒木口 停歩2分,N/A,(株)Ｓｔｅｐ（ＪＲ後藤寺線/筑前庄内 徒歩22分）オンライン相談可レスポンスの早さを重視し、迅速丁寧な対応を心がけています。,N/A,fukuoka.html
6989543143,京都郡みやこ町 節丸（東犀川三四郎駅） 2階建 ７ＤＫ280万円,中古一戸建て,280万円,７ＤＫ,123.51m²,"3,129.34m²",1976年2月（築50年3ヶ月）,築50年2ヶ月,平成筑豊鉄道 「東犀川三四郎」駅 徒歩46分,N/A,(株)オーシャン,N/A,fukuoka.html
1084875895,大牟田市 大字唐船（西鉄銀水駅） 平屋建 ７ＤＫ300万円,中古一戸建て,300万円,７ＤＫ,116.36m²,"1,248.10m²",1988年1月（築38年4ヶ月）,築38年3ヶ月,西鉄天神大牟田線 「西鉄銀水」駅 徒歩25分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6978826408,北九州市門司区 田野浦２丁目 平屋建 ３ＬＤＫ300万円,中古一戸建て,300万円,３ＬＤＫ,74.53m²,758.99m²,1976年12月（築49年5ヶ月）,築49年4ヶ月,【バス】田野浦臨海公園駅前 停歩550ｍ,北九州市門司区田野浦２丁目,(株)不動産のミキハウス（ＪＲ鹿児島本線/門司港 徒歩5分）売買・賃貸・管理・コンサルタント・競売等。不動産全般取扱い。,N/A,fukuoka.html
1066852598,田川市 大字糒（糒駅） 平屋建 ４ＳＬＤＫ300万円,中古一戸建て,300万円,４ＳＬＤＫ,121.08m²,591.00m²,1987年1月（築39年4ヶ月）,築39年3ヶ月,平成筑豊鉄道 「糒」駅 徒歩9分,N/A,(株)福屋不動産販売　千早店（ＪＲ鹿児島本線/千早 徒歩3分）オンライン相談可家を買う時、売る時、ＦＵＫＵＹＡグループにご相談ください！,N/A,fukuoka.html
9538505001,築上郡築上町 大字有安（豊前松江駅） 平屋建 ５Ｋ300万円,中古一戸建て,300万円,５Ｋ,137.40m²,574.71m²,1969年3月（築57年2ヶ月）,築57年1ヶ月,ＪＲ日豊本線 「豊前松江」駅 徒歩23分,N/A,（株）ＺＯＮ　福岡営業所,N/A,fukuoka.html
6980120649,豊前市 大字小犬丸（三毛門駅） 平屋建 ４ＤＫ300万円,中古一戸建て,300万円,４ＤＫ,150.40m²,664.43m²,1990年1月（築36年4ヶ月）,築36年3ヶ月,ＪＲ日豊本線 「三毛門」駅 徒歩29分[バス利用可] バス 久松 停歩11分,N/A,不動産プランニング・ジョイ　河野プランテック(株)（西鉄天神大牟田線/高宮 徒歩21分）オンライン相談可不動産のことなら河野プランテック株式会社不動産事業部プランニング・ジョイへ,N/A,fukuoka.html
1193435717,行橋市 大字矢留（今川河童駅） 平屋建 ５ＤＫ300万円,中古一戸建て,300万円,５ＤＫ,140.94m²,"2,347.97m²",1971年8月（築54年9ヶ月）,築54年8ヶ月,平成筑豊鉄道 「今川河童」駅 徒歩20分,N/A,(株)アンサー倶楽部（ＪＲ鹿児島本線/小倉 徒歩4分）オンライン相談可北九州・福岡市及び近郊エリアの不動産のことならアンサー倶楽部へお任せください!!,N/A,fukuoka.html
6986483604,大川市 大字大野島 平屋建 ３ＬＤＫ330万円,中古一戸建て,330万円,３ＬＤＫ,240.23m²,"1,121.86m²",1946年6月（築79年11ヶ月）,築79年10ヶ月,【バス】大野島農協前 停歩3分,N/A,(株)石井不動産（西鉄天神大牟田線/西鉄柳川）福岡県大川市を中心としたアパートマンション情報は当店まで！,N/A,fukuoka.html
6984184229,朝倉市 上秋月 2階建 ７ＬＤＫ350万円,リフォーム・リノベーション,350万円,７ＬＤＫ,210.22m²,996.00m²,1926年1月（築100年4ヶ月）,築100年3ヶ月,西鉄バス（朝倉総合庁舎入口）,N/A,イーグルハウス(株)（西鉄甘木線/甘木 徒歩1分）オンライン相談可不動産の事なら何でもご相談ください！一緒に理想のお住まいを探しましょう！,N/A,fukuoka.html
1033052189,嘉麻市 大隈町 2階建 ６ＳＬＤＫ350万円,中古一戸建て,350万円,６ＳＬＤＫ,164.56m²,678.25m²,1977年3月（築49年2ヶ月）,築49年1ヶ月,【バス】大隈 停歩8分,N/A,(株)東武住販　飯塚店（ＪＲ筑豊本線/新飯塚 徒歩3分）オンライン相談可不動産を売るとき、買うとき、お客様の住活を強力にサポート致します,N/A,fukuoka.html
6989911159,北九州市八幡西区 永犬丸東町２丁目（永犬丸駅） 平屋建 ３ＳＤＫ350万円,中古一戸建て,350万円,３ＳＤＫ,46.96m²,510.19m²,1963年2月（築63年3ヶ月）,築63年2ヶ月,筑豊電気鉄道 「永犬丸」駅 徒歩5分,北九州市八幡西区永犬丸東町２丁目,トライ不動産販売(株)（北九州モノレール/城野 徒歩5分）不動産のことなら何でもお任せください！キャリア２０年以上のスタッフが多数在籍！,N/A,fukuoka.html
9541893101,鞍手郡鞍手町 大字中山 平屋建 ５ＤＫ350万円,中古一戸建て,350万円,５ＤＫ,129.71m²,747.76m²,1892年1月（築134年4ヶ月）,築134年3ヶ月,【バス】鞍手車庫 停歩9分,N/A,（株）ふくもと,N/A,fukuoka.html
6961496003,豊前市 大字求菩提（宇島駅） 平屋建 ４ＳＫ350万円,中古一戸建て,350万円,４ＳＫ,80.16m²,856.58m²,1916年1月（築110年4ヶ月）,築110年3ヶ月,ＪＲ日豊本線 「宇島」駅 徒歩15600ｍ,N/A,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6986867674,豊前市 大字八屋（宇島駅） 2階建 ９ＤＫ350万円,中古一戸建て,350万円,９ＤＫ,154.71m²,673.12m²,1968年9月（築57年8ヶ月）,築57年7ヶ月,ＪＲ日豊本線 「宇島」駅 徒歩14分,N/A,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6972528203,北九州市門司区 大字田野浦（門司港駅） 平屋建 ５ＤＫ380万円,中古一戸建て,380万円,５ＤＫ,125.18m²,513.25m²,1986年9月（築39年8ヶ月）,築39年7ヶ月,ＪＲ鹿児島本線 「門司港」駅 徒歩5500ｍ[バス利用可] バス 太刀浦埠頭入口 停歩11分,北九州市門司区大字田野浦,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6989603725,北九州市八幡東区 祝町１丁目（スペースワールド駅） 2階建 ４ＤＫ390万円,中古一戸建て,390万円,４ＤＫ,108.68m²,661.15m²,1964年1月（築62年4ヶ月）,築62年3ヶ月,ＪＲ鹿児島本線 「スペースワールド」駅 徒歩33分[バス利用可] バス 神田橋 停歩8分,北九州市八幡東区祝町１丁目,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6989790269,築上郡築上町 大字椎田（椎田駅） 平屋建 ５ＤＫ390万円,中古一戸建て,390万円,５ＤＫ,137.42m²,861.72m²,1981年7月（築44年10ヶ月）,築44年9ヶ月,ＪＲ日豊本線 「椎田」駅 徒歩6分,N/A,(株)エステートプラン　小倉店（ＪＲ鹿児島本線/西小倉）オンライン相談可想い出を、つぎの家族の想い出に。,N/A,fukuoka.html
6987109596,朝倉市 下渕（甘木駅） 2階建 ７ＤＫ400万円,中古一戸建て,400万円,７ＤＫ,165.48m²,608.50m²,1962年1月（築64年4ヶ月）,築64年3ヶ月,甘木鉄道 「甘木」駅 徒歩46分,N/A,甘鉄エージェンシー(株)（甘木鉄道/甘木 徒歩1分）朝倉市、筑前町を中心とした不動産売買のことならお任せください。,N/A,fukuoka.html
1084903295,大牟田市 新勝立町５丁目（大牟田駅） 平屋建 ４ＤＫ400万円,中古一戸建て,400万円,４ＤＫ,63.63m²,691.43m²,1960年1月（築66年4ヶ月）,築66年3ヶ月,ＪＲ鹿児島本線 「大牟田」駅 徒歩52分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6982469026,鞍手郡鞍手町 大字新延（鞍手駅） 2階建 ７ＤＫ400万円,中古一戸建て,400万円,７ＤＫ,201.51m²,905.84m²,1973年9月（築52年8ヶ月）,築52年7ヶ月,ＪＲ筑豊本線 「鞍手」駅 徒歩3000ｍ,N/A,(株)エフ・ユープランニング豊富な知識でお部屋探しに‘‘福’’をもたらします！,N/A,fukuoka.html
6987715299,豊前市 大字中村（豊前松江駅） 平屋建 ４ＤＫ400万円,中古一戸建て,400万円,４ＤＫ,104.44m²,614.49m²,1978年9月（築47年8ヶ月）,築47年7ヶ月,ＪＲ日豊本線 「豊前松江」駅 徒歩15分,N/A,不動産コネクト　(株)Ｋ－ｃｏｎｎｅｃｔ（ＪＲ日豊本線/宇島 徒歩11分）いつもニコニコ笑顔の接客を心がけております。お気軽にお問い合わせください。,N/A,fukuoka.html
,--- fukuoka.txt ---,,,,,,,,,,,,
6988886343,八女市 立花町山崎 平屋建 ３ＤＫ1万円,中古一戸建て,1万円,３ＤＫ,103.53m²,"1,117.58m²",1905年1月（築121年4ヶ月）,築121年3ヶ月,【バス】八女営業所 停歩2000ｍ,N/A,(株)リヒトアイズ（ＪＲ篠栗線/篠栗 徒歩7分）オンライン相談可,N/A,fukuoka.txt
6980559426,北九州市八幡東区 景勝町（スペースワールド駅） 2階建 ４ＤＫ80万円,中古一戸建て,80万円,４ＤＫ,82.12m²,711.00m²,1966年6月（築59年11ヶ月）,築59年10ヶ月,ＪＲ鹿児島本線 「スペースワールド」駅 徒歩45分[バス利用可] バス 景勝町 停歩5分,北九州市八幡東区景勝町,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.txt
6986934069,北九州市門司区 鳴竹１丁目（関門海峡めかり駅） 2階建 ４Ｋ90万円,中古一戸建て,90万円,４Ｋ,82.17m²,553.74m²,1981年2月（築45年3ヶ月）,築45年2ヶ月,門司港レトロ観光線 「関門海峡めかり」駅 徒歩37分,北九州市門司区鳴竹１丁目,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.txt
6979769763,京都郡みやこ町 徳政（新豊津駅） 平屋建 ５ＤＫ90万円,中古一戸建て,90万円,５ＤＫ,97.68m²,789.87m²,1868年4月（築158年1ヶ月）,築158年0ヶ月,平成筑豊鉄道 「新豊津」駅 徒歩34分,N/A,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.txt
6986698059,豊前市 大字馬場（豊前松江駅） 2階建 ７ＤＫ98万円,中古一戸建て,98万円,７ＤＫ,233.05m²,611.46m²,1950年1月（築76年4ヶ月）,築76年3ヶ月,ＪＲ日豊本線 「豊前松江」駅 徒歩36分,N/A,(株)エステートプラン（筑豊電気鉄道/穴生 徒歩2分）オンライン相談可私たちは安心を提供することを目的とします。,N/A,fukuoka.txt
1103410103,北九州市門司区 大字大里 3階建 ５ＤＫ99万円,中古一戸建て,99万円,５ＤＫ,118.04m²,"1,127.00m²",1976年2月（築50年3ヶ月）,築50年2ヶ月,－,北九州市門司区大字大里,センチュリー２１　大和住研(株)（阪急京都線/茨木市 徒歩3分）オンライン相談可阪急京都線茨木市駅から徒歩３分にあるセンチュリー21大和住研です。,N/A,fukuoka.txt
6990375004,北九州市八幡西区 上上津役６丁目（永犬丸駅） 平屋建 ４ＤＫ148万円,中古一戸建て,148万円,４ＤＫ,94.74m²,651.67m²,1978年6月（築47年11ヶ月）,築47年10ヶ月,筑豊電気鉄道 「永犬丸」駅 徒歩42分,北九州市八幡西区上上津役６丁目,(株)ＡｌｂａＬｉｎｋ　博多支店（地下鉄空港線/中洲川端 徒歩5分）AlbaLinkは、空き家の買取再販と利活用を専門とする不動産IT企業です,N/A,fukuoka.txt
6988671854,朝倉市 黒川 平屋建 ５ＤＫ150万円,中古一戸建て,150万円,５ＤＫ,113.61m²,"2,046.00m²",1888年1月（築138年4ヶ月）,築138年3ヶ月,【バス】コミュニティバス「馬場」 停歩4分,N/A,イーグルハウス(株)（西鉄甘木線/甘木 徒歩1分）オンライン相談可不動産の事なら何でもご相談ください！一緒に理想のお住まいを探しましょう！,N/A,fukuoka.txt
1164813107,大牟田市 黄金町１丁目（大牟田駅） 2階建 ５ＤＫ150万円,中古一戸建て,150万円,５ＤＫ,172.45m²,516.26m²,1961年1月（築65年4ヶ月）,築65年3ヶ月,ＪＲ鹿児島本線 「大牟田」駅 徒歩17分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.txt
6988496774,豊前市 大字大西（宇島駅） 平屋建 ４ＤＫ150万円,中古一戸建て,150万円,４ＤＫ,111.34m²,522.19m²,1974年2月（築52年3ヶ月）,築52年2ヶ月,ＪＲ日豊本線 「宇島」駅 徒歩50分,N/A,(株)オーシャン,N/A,fukuoka.txt
6989770868,大牟田市 新勝立町５丁目（大牟田駅） 2階建 ７ＤＫ180万円,中古一戸建て,180万円,７ＤＫ,120.26m²,545.00m²,1983年4月（築43年1ヶ月）,築43年0ヶ月,西鉄天神大牟田線 「大牟田」駅 徒歩50分,N/A,あざみハウジング（西鉄天神大牟田線/大牟田 徒歩5分）あなたの住まいの空間をお探しします,N/A,fukuoka.txt
1148227014,北九州市八幡西区 元城町（八幡駅） 平屋建 ４ＤＫ180万円,中古一戸建て,180万円,４ＤＫ,47.93m²,694.00m²,1940年1月（築86年4ヶ月）,築86年3ヶ月,ＪＲ鹿児島本線 「八幡」駅 徒歩27分,北九州市八幡西区元城町,(株)土地空間堂（筑豊電気鉄道/三ヶ森 徒歩7分）理想を現実に、納得するまでお手伝い！！,N/A,fukuoka.txt
6990103799,行橋市 大字道場寺（新田原駅） 平屋建 ３Ｋ180万円,中古一戸建て,180万円,３Ｋ,50.41m²,764.23m²,1947年1月（築79年4ヶ月）,築79年3ヶ月,ＪＲ日豊本線 「新田原」駅 徒歩11分,N/A,(株)エステートプラン（筑豊電気鉄道/穴生 徒歩2分）オンライン相談可私たちは安心を提供することを目的とします。,N/A,fukuoka.txt
